count,size_1,kko_1,size_2,kko_2,,,,,,,,,,,,,
1861,44924,kko.ConceptualSystems,2108,kko.StructuredInfo,,,,,,,,,,,,,
1799,44924,kko.ConceptualSystems,1799,kko.LearningProcesses,,,,,,,,,,,,,
1814,44924,kko.ConceptualSystems,2175,kko.FoodDrink,,,,,,,,,,,,,
1742,44924,kko.ConceptualSystems,1909,kko.WrittenInfo,,,,,,,,,,,,,
2250,44924,kko.ConceptualSystems,2303,kko.Plants,,,,,,,,,,,,,
1637,44924,kko.ConceptualSystems,2079,kko.AreaRegion,,,,,,,,,,,,,
1483,44924,kko.ConceptualSystems,1526,kko.AVInfo,,,,,,,,,,,,,
418,44924,kko.ConceptualSystems,1701,kko.Drugs,,,,,,,,,,,,,
1414,44924,kko.ConceptualSystems,1500,kko.RepresentationTypes,,,,,,,,,,,,,
2048,44924,kko.ConceptualSystems,2049,kko.Geopolitical,,,,,,,,,,,,,
1522,44924,kko.ConceptualSystems,1796,kko.NaturalSubstances,,,,,,,,,,,,,
1456,44924,kko.ConceptualSystems,1456,kko.TopicsCategories,,,,,,,,,,,,,
1085,44924,kko.ConceptualSystems,1159,kko.EconomicSystems,,,,,,,,,,,,,
714,44924,kko.ConceptualSystems,881,kko.Chemistry,,,,,,,,,,,,,
1061,44924,kko.ConceptualSystems,1085,kko.VisualInfo,,,,,,,,,,,,,
972,44924,kko.ConceptualSystems,1043,kko.Associatives,,,,,,,,,,,,,
876,44924,kko.ConceptualSystems,959,kko.NaturalPhenomena,,,,,,,,,,,,,
891,44924,kko.ConceptualSystems,918,kko.Denotatives,,,,,,,,,,,,,
902,44924,kko.ConceptualSystems,929,kko.OrganicChemistry,,,,,,,,,,,,,
890,44924,kko.ConceptualSystems,922,kko.Diseases,,,,,,,,,,,,,
651,44924,kko.ConceptualSystems,663,kko.Indexes,,,,,,,,,,,,,
561,44924,kko.ConceptualSystems,652,kko.InquiryMethods,,,,,,,,,,,,,
448,44924,kko.ConceptualSystems,508,kko.AtomsElements,,,,,,,,,,,,,
544,44924,kko.ConceptualSystems,560,kko.Times,,,,,,,,,,,,,
436,44924,kko.ConceptualSystems,453,kko.AudioInfo,,,,,,,,,,,,,
285,44924,kko.ConceptualSystems,295,kko.BiologicalProcesses,,,,,,,,,,,,,
273,44924,kko.ConceptualSystems,273,kko.Prokaryotes,,,,,,,,,,,,,
156,44924,kko.ConceptualSystems,179,kko.EmergentKnowledge,,,,,,,,,,,,,
187,44924,kko.ConceptualSystems,187,kko.ProtistsFungus,,,,,,,,,,,,,
35966,44316,kko.Concepts,39933,kko.Constituents,,,,,,,,,,,,,
32395,44316,kko.Concepts,33756,kko.SpaceTypes,,,,,,,,,,,,,
25634,44316,kko.Concepts,29569,kko.Predications,,,,,,,,,,,,,
24584,44316,kko.Concepts,30947,kko.Artifacts,,,,,,,,,,,,,
19203,44316,kko.Concepts,25534,kko.Products,,,,,,,,,,,,,
20907,44316,kko.Concepts,23957,kko.RelationTypes,,,,,,,,,,,,,
15728,44316,kko.Concepts,19662,kko.SecondarySectorProduct,,,,,,,,,,,,,
20316,44316,kko.Concepts,21374,kko.OrganicMatter,,,,,,,,,,,,,
14686,44316,kko.Concepts,17628,kko.CopulativeRelations,,,,,,,,,,,,,
14502,44316,kko.Concepts,14707,kko.Shapes,,,,,,,,,,,,,
11730,44316,kko.Concepts,14257,kko.Methodeutic,,,,,,,,,,,,,
11430,44316,kko.Concepts,13831,kko.KnowledgeDomains,,,,,,,,,,,,,
9912,44316,kko.Concepts,11188,kko.AttributeTypes,,,,,,,,,,,,,
6622,44316,kko.Concepts,9514,kko.ActionTypes,,,,,,,,,,,,,
8664,44316,kko.Concepts,9159,kko.Forms,,,,,,,,,,,,,
10763,44316,kko.Concepts,11013,kko.LivingThings,,,,,,,,,,,,,
5587,44316,kko.Concepts,8142,kko.TimeTypes,,,,,,,,,,,,,
5163,44316,kko.Concepts,7679,kko.EventTypes,,,,,,,,,,,,,
7695,44316,kko.Concepts,7727,kko.MediativeRelations,,,,,,,,,,,,,
6340,44316,kko.Concepts,7539,kko.AdjunctualAttributes,,,,,,,,,,,,,
8437,44316,kko.Concepts,8662,kko.Agents,,,,,,,,,,,,,
9401,44316,kko.Concepts,9593,kko.Eukaryotes,,,,,,,,,,,,,
7545,44316,kko.Concepts,8063,kko.Places,,,,,,,,,,,,,
7034,44316,kko.Concepts,7049,kko.SituationTypes,,,,,,,,,,,,,
5530,44316,kko.Concepts,6050,kko.Information,,,,,,,,,,,,,
6964,44316,kko.Concepts,7087,kko.Animals,,,,,,,,,,,,,
4647,44316,kko.Concepts,5524,kko.SocialSystems,,,,,,,,,,,,,
4752,44316,kko.Concepts,4848,kko.Organizations,,,,,,,,,,,,,
3906,44316,kko.Concepts,4486,kko.Society,,,,,,,,,,,,,
3652,44316,kko.Concepts,3887,kko.IntrinsicAttributes,,,,,,,,,,,,,
4369,44316,kko.Concepts,4396,kko.LocationPlace,,,,,,,,,,,,,
3206,44316,kko.Concepts,3345,kko.ContextualAttributes,,,,,,,,,,,,,
2738,44316,kko.Concepts,3383,kko.PrimarySectorProduct,,,,,,,,,,,,,
1522,44316,kko.Concepts,3258,kko.TertiarySectorService,,,,,,,,,,,,,
3641,44316,kko.Concepts,3641,kko.Persons,,,,,,,,,,,,,
2180,44316,kko.Concepts,2675,kko.NaturalMatter,,,,,,,,,,,,,
2266,44316,kko.Concepts,2300,kko.DirectRelations,,,,,,,,,,,,,
2058,44316,kko.Concepts,2063,kko.Facilities,,,,,,,,,,,,,
1859,44316,kko.Concepts,2108,kko.StructuredInfo,,,,,,,,,,,,,
1492,44316,kko.Concepts,1799,kko.LearningProcesses,,,,,,,,,,,,,
1810,44316,kko.Concepts,2175,kko.FoodDrink,,,,,,,,,,,,,
1740,44316,kko.Concepts,1909,kko.WrittenInfo,,,,,,,,,,,,,
2250,44316,kko.Concepts,2303,kko.Plants,,,,,,,,,,,,,
1637,44316,kko.Concepts,2079,kko.AreaRegion,,,,,,,,,,,,,
1483,44316,kko.Concepts,1526,kko.AVInfo,,,,,,,,,,,,,
410,44316,kko.Concepts,1701,kko.Drugs,,,,,,,,,,,,,
1414,44316,kko.Concepts,1500,kko.RepresentationTypes,,,,,,,,,,,,,
2048,44316,kko.Concepts,2049,kko.Geopolitical,,,,,,,,,,,,,
1522,44316,kko.Concepts,1796,kko.NaturalSubstances,,,,,,,,,,,,,
1165,44316,kko.Concepts,1456,kko.TopicsCategories,,,,,,,,,,,,,
942,44316,kko.Concepts,1159,kko.EconomicSystems,,,,,,,,,,,,,
711,44316,kko.Concepts,881,kko.Chemistry,,,,,,,,,,,,,
1061,44316,kko.Concepts,1085,kko.VisualInfo,,,,,,,,,,,,,
972,44316,kko.Concepts,1043,kko.Associatives,,,,,,,,,,,,,
841,44316,kko.Concepts,959,kko.NaturalPhenomena,,,,,,,,,,,,,
891,44316,kko.Concepts,918,kko.Denotatives,,,,,,,,,,,,,
902,44316,kko.Concepts,929,kko.OrganicChemistry,,,,,,,,,,,,,
890,44316,kko.Concepts,922,kko.Diseases,,,,,,,,,,,,,
651,44316,kko.Concepts,663,kko.Indexes,,,,,,,,,,,,,
522,44316,kko.Concepts,652,kko.InquiryMethods,,,,,,,,,,,,,
448,44316,kko.Concepts,508,kko.AtomsElements,,,,,,,,,,,,,
544,44316,kko.Concepts,560,kko.Times,,,,,,,,,,,,,
436,44316,kko.Concepts,453,kko.AudioInfo,,,,,,,,,,,,,
